Transcription-Units	Promoter	Absolute-Plus-1-Position	Binds-Sigma-Factor	Genes	Gene left	Gene right	Transcription-Direction	Names
argP	argPp	3059730		argP	3059753	3060646	+	argP // iciA
ybfF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybfF	712038	712802	-	ybfF
dpiBA	dpiBp2	652172		dpiA // dpiB	653862 // 652235	654542 // 653893	+	dpiBA
yjjP	yjjPp	4603034		yjjP	4602088	4602858	-	yjjP
yghQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yghQ	3131341	3132408	-	yghQ
proQ-prc		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		proQ // prc	1914836 // 1912768	1915534 // 1914816	-	proQ-prc
rdlA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rdlA	1269323	1269389	+	rdlA
ybgS		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybgS	784937	785317	-	ybgS
ftsZ	ftsZp2	105045		ftsZ	105305	106456	+	ftsZ
yghO		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yghO	3129043	3130215	-	yghO
mdaB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mdaB	3172530	3173111	+	mdaB
sraG	sraGp	3311183		sraG	3311183	3311398	+	sraG
mntR-ybiR	mntRp	853098		ybiR // mntR	853647 // 853183	854765 // 853650	+	mntR-ybiR
pgk	pgkp2	3072648		pgk	3071459	3072622	-	pgk
ftsZ	ftsZp4	104636		ftsZ	105305	106456	+	ftsZ
fadH	fadHp	3231624		fadH	3231665	3233683	+	fadH
yodC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yodC	2028188	2028370	-	yodC
ushA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ushA	504914	506566	+	ushA
poxB-ltaE-ybjT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		poxB // ltaE // ybjT	909331 // 908293 // 906852	911049 // 909294 // 908282	-	poxB-ltaE-ybjT
endA	endAp1	3090327		endA	3090347	3091054	+	endA
tdcR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		tdcR	3267380	3267598	+	tdcR
insH6		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insH6	2066305	2067285	-	insH6
yaiT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yaiT			+	yaiT
mepK-gloC	mepKp	983023		gloC // mepK	983650 // 983075	984297 // 983623	+	mepK-gloC
sfsB	sfsBp	3334858		sfsB	3334909	3335187	+	sfsB
yeeZ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeeZ	2088304	2089128	-	yeeZ
ybhQ	ybhQp	824601		ybhQ	824630	825040	+	ybhQ
gfcA	gfcAp	1050702		gfcA	1049439	1049744	-	gfcA
truD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		truD	2870255	2871304	-	truD
tldD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		tldD	3390583	3392028	-	tldD
yegW	yegWp			yegW	2182035	2182781	-	yegW
yhhM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhhM	3605251	3605610	-	yhhM
yceK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yceK	1113579	1113806	+	yceK
rseX	rseXp	2033649		rseX	2033649	2033739	+	rseX
prkB	prkBp	3484311		prkB	3484490	3485359	+	prkB
btsSR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		btsS // btsR	2212959 // 2212243	2214644 // 2212962	-	btsSR
yidX		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yidX	3875438	3876094	+	yidX
lolCDE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		lolE // lolD // lolC	1177320 // 1176619 // 1175427	1178564 // 1177320 // 1176626	+	lolCDE
amn	amnp1	2055031		amn	2055061	2056515	+	amn
mviM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yceM	1126806	1127729	+	mviM
yhhW		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhhW	3578950	3579645	-	yhhW
psuT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		psuT	2256085	2257335	-	psuT
yjgD	rraBp2	4478445		rraB	4478473	4478889	+	yjgD
ycgX		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycgX	1212703	1213107	-	ycgX
glnS	glnSp1	706060		glnS	706093	707757	+	glnS
aspT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		aspT	3946872	3946948	+	aspT
ftp		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ftp	2310479	2311534	-	ftp
ymfI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ymfI	1201497	1201838	+	ymfI
nhaB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		nhaB	1233176	1234717	-	nhaB
mobAB	mobAp2	4042121		mobB // mobA	4040906 // 4041415	4041433 // 4041999	-	mobAB
yfbO		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfbO	2388635	2389057	+	yfbO
yphH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yphH	2682863	2684056	+	yphH
eno	enop2	2908702		eno	2906643	2907941	-	eno
yibJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yibJ	3767221	3767922	+	yibJ
prmB-aroC-mepA-yfcA-epmC-yfcL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		prmB // aroC // mepA // yfcA // epmC // yfcL	2447508 // 2446388 // 2445560 // 2444751 // 2444203 // 2443891	2448440 // 2447473 // 2446384 // 2445560 // 2444751 // 2444169	-	prmB-aroC-mepA-yfcA-epmC-yfcL
ybjD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybjD	916473	918131	+	ybjD
ompG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ompG	1381947	1382852	+	ompG
rpsO-pnp	rpsOp	3311786		pnp // rpsO	3309033 // 3311415	3311168 // 3311684	-	rpsO-pnp
yadI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yadI	144577	145017	+	yadI
ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	ftsLp2	91012		ftsO // lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL	92485 // 106557 // 105305 // 103982 // 103155 // 102233 // 100765 // 99644 // 98403 // 97087 // 96002 // 94650 // 93166 // 91413 // 91032	92658 // 107474 // 106456 // 105244 // 103985 // 103153 // 102240 // 100711 // 99647 // 98403 // 97084 // 96008 // 94653 // 93179 // 91397	+	ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
cmr	cmrp1	883649		mdfA	883673	884905	+	cmr // mdfA
xanP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		xanP	3828945	3830336	+	xanP
oxc		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		oxc	2490256	2491950	-	oxc
ycgJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycgJ	1226600	1226968	+	ycgJ
racR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		racR	1419765	1420241	-	racR
argE	argEp2	4155078		argE	4153696	4154847	-	argE
yaeP-rof	yaePp	214187		yaeP // rof	213925 // 213678	214125 // 213932	-	yaeP-rof
yidB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yidB	3877067	3877465	-	yidB
eutBCLKR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		eutB // eutC // eutL // eutK // eutR	2557318 // 2556410 // 2555741 // 2555228 // 2554130	2558679 // 2557297 // 2556400 // 2555728 // 2555182	-	eutBCLKR
eamA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		eamA	1620238	1621137	-	eamA
insI2		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insI2	1469358	1470509	+	insI2
bdm-sra	bdmp	1556340		sra // bdm	1555826 // 1556065	1555963 // 1556280	-	bdm-sra
yafL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yafL	246712	247461	+	yafL
dcd	dcdp			dcd	2141634	2142215	-	dcd
rhlB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rhlB	3964365	3965630	-	rhlB
ypfJ-tmcA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ypfJ // tmcA	2595874 // 2593844	2596737 // 2595859	-	ypfJ-tmcA
yegD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yegD	2147674	2149026	+	yegD
yagAB-insX		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yagA // yagB // insX	280829 // 280385 // 280114	281983 // 280735 // 280362	-	yagAB-insX
csgC	csgCp			csgC	1104961	1105293	+	csgC
ubiD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ubiD	4024988	4026481	+	ubiD
btuCED		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		btuD // btuE // btuC	1792809 // 1793558 // 1794172	1793558 // 1794109 // 1795152	-	btuCED
yphA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yphA	2673346	2673768	+	yphA
yfeR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfeR	2525930	2526856	-	yfeR
eaeH-insE1EF1F1		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insF1 // insE1 // insEF1 // eaeH	315587 // 315291 // 314357	316453 // 315590 // 315244	+	eaeH-insE1EF1F1
rrlA-rrfA	rrlAp			rrfA // rrlA	4040517 // 4037519	4040636 // 4040423	+	rrlA-rrfA
rpmH-rnpA	rpmHp3	3884065		rnpA // rpmH	3884493 // 3884336	3884852 // 3884476	+	rpmH-rnpA
yiiE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yiiE	4079291	4079509	+	yiiE
ffh	ffhp	2747853		ffh	2746434	2747795	-	ffh
yghZ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		gpr	3147897	3148937	+	yghZ
yneL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yneL	1590334	1590536	-	yneL
pagP	pagPp	656526		pagP	656557	657117	+	pagP // crcA
frwCB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		frwB // frwC	4143624 // 4142530	4143944 // 4143609	+	frwCB
yfjW		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfjW	2773318	2775021	+	yfjW
bioH	bioHp	3544858		bioH	3544074	3544844	-	bioH
ydfH	ydfHp	1628326		rspR	1628352	1629038	+	ydfH
leuO	leuOp1	84154		leuO	84368	85312	+	leuO
yafZ	yafZp	268026		yafZ	267184	268005	-	yafZ
dgkA	dgkAp2	4256608		dgkA	4256637	4257005	+	dgkA
menFD-yfbB-menBCE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		menE // menC // menB // menH // menD // menF	2373648 // 2375000 // 2375962 // 2376834 // 2377589 // 2379348	2375003 // 2375962 // 2376819 // 2377592 // 2379259 // 2380643	-	menFD-yfbB-menBCE
gshA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		gshA	2814883	2816439	-	gshA
envR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		envR	3412803	3413465	-	envR
dicA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		dicA	1647934	1648341	+	dicA
mdlAB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mdlB // mdlA	470636 // 468871	472417 // 470643	+	mdlAB
yjdN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjdN	4325298	4325741	-	yjdN
ygcU		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygcU	2897964	2899418	-	ygcU
ompX	ompXp2	850419		ompX	850450	850965	+	ompX
ydgI-folM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		folM // ydgI	1680976 // 1679557	1681698 // 1680939	+	ydgI-folM
rimJ	rimJp	1125522		rimJ	1125562	1126146	+	rimJ
qmcA-ybbJ	qmcAp	515823		qmcA // ybbJ	514856 // 514401	515773 // 514859	-	qmcA-ybbJ
rpoS	rpoSp1	2867567		rpoS	2866559	2867551	-	rpoS
rsgA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rsgA	4390457	4391509	-	rsgA
rnt-lhr	rntp	1728320		rnt // lhr	1728347 // 1729087	1728994 // 1733703	+	rnt-lhr
ygdQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygdQ	2970420	2971133	+	ygdQ
mak		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mak	410144	411052	+	mak
ydhS		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydhS	1747131	1748735	+	ydhS
fbp		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		fbp	4454611	4455609	-	fbp
ybcK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybcK	568902	570428	+	ybcK
groL	groLp1	4370783		groL	4371025	4372671	+	groL
ytfQRT-yjfF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjfF // ytfT // ytfR // ytfQ	4453583 // 4452571 // 4451058 // 4449962	4454578 // 4453596 // 4452560 // 4450918	+	ytfQRT-yjfF
ygeLK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygeL // ygeK	2994937 // 2994460	2995092 // 2994903	-	ygeLK
ldrB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ldrB	1269703	1269810	-	ldrB
nlpC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		nlpC	1792267	1792731	-	nlpC
ybdM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybdM	634747	635376	-	ybdM
yjgX		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjgX	4499593	4500791	-	yjgX
xanQ-guaD-ghxQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ghxQ // guaD // xanQ	3027121 // 3025766 // 3024351	3028488 // 3027085 // 3025751	+	xanQ-guaD-ghxQ
allR	allRp			allR	533011	533826	+	allR
yeaC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeaC	1861702	1861974	-	yeaC
ybgIJKL-nei	ybgIp2	742798		pxpA // nei // pxpC // pxpB // ybgI	745165 // 745935 // 744243 // 743593 // 742827	745899 // 746726 // 745175 // 744249 // 743570	+	ybgIJKL-nei
dacA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		dacA	662752	663963	-	dacA
kch		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		kch	1309016	1310269	-	kch
yjiJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjiJ	4561497	4562675	-	yjiJ
cmtBA-yggPF-fumE-yggC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cmtB // cmtA // yggP // yggF // fumE // yggC	3078887 // 3077471 // 3076179 // 3075217 // 3074686 // 3073976	3079330 // 3078859 // 3077456 // 3076182 // 3075195 // 3074689	-	cmtBA-yggPF-fumE-yggC
yeaX		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeaX	1885845	1886810	+	yeaX
ydiU	ydiUp	1791254		selO	1789808	1791244	-	ydiU
rhsC-ybfB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybfB // rhsC	733776 // 729583	734102 // 733776	+	rhsC-ybfB
prfC	prfCp	4609358		prfC	4609414	4611003	+	prfC
gss	gssp	3138610		gss	3136663	3138522	-	gss
rsmF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rsmF	1920223	1921662	+	rsmF
rfaH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rfaH	4024333	4024821	-	rfaH
ybhH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybhH	800759	801811	+	ybhH
crr	crrp2	2535480		crr	2535834	2536343	+	crr
yecJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yecJ	1987507	1987758	-	yecJ
ryjA	ryjAp	4278066		ryjA	4277926	4278066	-	ryjA
ybiYW		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybiY // ybiW	862612 // 860174	863511 // 862606	-	ybiYW
ygjP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygjP	3235960	3236463	+	ygjP
yedS		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yedS	2034051	2035243	+	yedS
mlaA	mlaAp	2465135		mlaA	2464252	2465007	-	mlaA // vacJ
trxB	trxBp	932078		trxB	931085	932050	-	trxB
pdxB-usg-truA-dedA	pdxBp	2437884		dedA // truA // usg // pdxB	2434082 // 2434824 // 2435636 // 2436715	2434741 // 2435636 // 2436649 // 2437851	-	pdxB-usg-truA-dedA
yraH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yraH	3287426	3288010	+	yraH
yeeP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeeP	2070786	2071211	+	yeeP
ybaZ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybaZ	475982	476371	-	ybaZ
elfDCG-ycbUVF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycbF // ycbV // ycbU // elfG // elfC // elfD	1003947 // 1003439 // 1002889 // 1001807 // 999216 // 998490	1004657 // 1003954 // 1003431 // 1002877 // 1001816 // 999191	+	elfDCG-ycbUVF
yadMLKC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yadC // yadK // yadL // yadM	149715 // 151003 // 151626 // 152243	150953 // 151599 // 152231 // 152812	-	yadMLKC
mlaFEDCB	mlaFp2	3340121		mlaF // mlaE // mlaD // mlaC // mlaB	3339256 // 3338466 // 3337910 // 3337256 // 3336963	3340065 // 3339248 // 3338461 // 3337891 // 3337256	-	mlaFEDCB
ugd		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ugd	2098447	2099613	-	ugd
ybiP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		opgE	851014	852597	-	ybiP
yccM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yccM	1052289	1053362	-	yccM
mutY-yggX-mltC	mutYp2	3102911		mltC // yggX // mutY	3104433 // 3104093 // 3103013	3105512 // 3104368 // 3104065	+	mutY-yggX-mltC
wbbIJK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		wbbK // wbbJ // wbbI	2103391 // 2104494 // 2105065	2104509 // 2105084 // 2106057	-	wbbIJK
yhdJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhdJ	3411653	3412537	+	yhdJ
yhiN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhiN	3636208	3637410	-	yhiN
solA-yceO	solAp	1120609		solA // yceO	1119468 // 1119307	1120586 // 1119447	-	solA-yceO
tisB	tisBp	3853337		tisB	3853553	3853642	+	tisB // ysdAB // tisAB
ispG-sroE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ispG // sroE	2640686 // 2640595	2641804 // 2640686	-	ispG-sroE
yhfL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhfL	3499448	3499615	+	yhfL
pbpG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		pbpG	2223938	2224870	-	pbpG
yifE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		maoP	3948086	3948424	+	yifE
roxA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		roxA	1187119	1188240	-	roxA
pyrG-eno	pyrGp1	2909797		eno // pyrG	2906643 // 2908029	2907941 // 2909666	-	pyrG-eno
ogrK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ogrK	2167302	2167520	-	ogrK
yrhB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yrhB	3584759	3585043	+	yrhB
yeiQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeiQ	2266245	2267711	+	yeiQ
yjgZ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjgZ	4501260	4501589	+	yjgZ
ycgZ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycgZ	1215789	1216025	+	ycgZ
recF	recFp2	3881861		recF	3880148	3881221	-	recF
rpnE-ypaA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ypaA // rpnE	2357816 // 2356904	2358001 // 2357803	+	rpnE-ypaA
yncE	yncEp	1523227		yncE	1523307	1524368	+	yncE
ymgE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ymgE	1244728	1244982	+	ymgE
yjjY		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjjY	4640402	4640542	+	yjjY
ileS-lspA-fkpB-ispH	ileSp2	22034		ispH // fkpB // lspA // ileS	26277 // 25826 // 25207 // 22391	27227 // 26275 // 25701 // 25207	+	ileS-lspA-fkpB-ispH
yhjY		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhjY	3712236	3712934	-	yhjY
yfbR	yfbRp3	2408831		yfbR	2408862	2409461	+	yfbR
yqgD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yqgD	3086399	3086650	-	yqgD
yciK-btuR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yciK // btuR	1328354 // 1327767	1329112 // 1328357	-	yciK-btuR
yabPQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yabQ // yabP	59121 // 58474	59279 // 59124	+	yabPQ
yibL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yibL	3776665	3777027	+	yibL
yfcZ	yfcZp	2460979		yfcZ	2460650	2460934	-	yfcZ
ycaK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycaK	949668	950258	+	ycaK
rnhA	rnhAp	236041		rnhA	235535	236002	-	rnhA
hrpB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		hrpB	162105	164534	+	hrpB
fabDG-acpP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		acpP // fabG // fabD	1151615 // 1150670 // 1149728	1151851 // 1151404 // 1150657	+	fabDG-acpP
setC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		setC	3836953	3838137	+	setC
pyrSR-ypdC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ypdC // pyrR // pyrS	2501130 // 2500383 // 2498671	2501987 // 2501117 // 2500368	+	pyrSR-ypdC
ychN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ychN	1273246	1273599	-	ychN
trkG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		trkG	1423782	1425239	+	trkG
lepAB	lepAp	2707196		lepA // lepB	2705325 // 2704335	2707124 // 2705309	-	lepAB
rcsF-trmO		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rcsF // trmO	219591 // 218887	219995 // 219594	-	rcsF-trmO
yidZ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yidZ	3892765	3893724	+	yidZ
yffMN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yffN // yffM	2561625 // 2561368	2561993 // 2561613	+	yffMN
ydgC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydgC	1681695	1682030	-	ydgC
yacG	yacGp			yacG	111649	111846	-	yacG
hlyE	hlyEp	1230466		hlyE	1229483	1230394	-	hlyE
yzcX		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yzcX	3993850	3994335	+	yzcX
yfgHI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfgI // yfgH	2630326 // 2629792	2630865 // 2630310	+	yfgHI
yegI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yegI	2149039	2150985	-	yegI
rlhA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rlhA	1506781	1508742	+	rlhA
xynR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		xynR	288404	289162	-	xynR
rfaDFCL	rfaDp2	3793896		waaL // waaC // waaF // rfaD	3796948 // 3795979 // 3794929 // 3793987	3798207 // 3796938 // 3795975 // 3794919	+	rfaDFCL
dhaM	dhaMp			dhaM	1247696	1249114	-	dhaM
xylAB	xylAp	3730807		xylB // xylA	3727917 // 3729443	3729371 // 3730765	-	xylAB
yihD	yihDp	4042049		yihD	4042069	4042338	+	yihD
chaBC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		chaB // chaC	1272119 // 1272507	1272349 // 1273202	+	chaBC
yphG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yphG	2679464	2682745	-	yphG
yfiC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfiC	2712027	2712764	-	yfiC
yddE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yddE	1534965	1535858	-	yddE
deoABD	deoAp			deoD // deoB // deoA	4620883 // 4619603 // 4618229	4621602 // 4620826 // 4619551	+	deoABD
yiiG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yiiG	4087002	4088057	+	yiiG
nadK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		nadK	2750831	2751709	+	nadK
ttdR	ttdRp	3206380		ttdR	3205324	3206256	-	ttdR
lsrK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		lsrK	1598617	1600209	-	lsrK
